· position approximative	app/(tabs)/highlights.tsx:jsx
(facultatif)	app/schedule-call.tsx:jsx
À joindre rapidement	app/(tabs)/calls.tsx:attr:title
À quelle heure ?	app/schedule-call.tsx:jsx
Accéder à la procédure de suppression même si vous ne pouvez plus utiliser l’application.	app/privacy.tsx:attr:subtitle
Accéder aux votes évènements	src/components/EventVoteBanner.tsx:attr:accessibilityLabel
Accepter l’appel	app/call/[id].tsx:attr:label
Accepter les conditions d’utilisation	app/sign-in.tsx:attr:accessibilityLabel
Accès membre	app/membership-required.tsx:jsx
actifs récemment	src/components/ConversationRow.tsx:jsx
Action impossible	app/call/[id].tsx:alert | app/profile/[id].tsx:alert
Action rapide — aucune suppression de compte	app/(tabs)/settings.tsx:jsx
Activation du backend sécurisé requise.	app/(tabs)/messages.tsx:attr:subtitle
Activé par défaut pour laisser chaque membre sélectionner tous les choix pertinents.	src/components/PollComposerModal.tsx:jsx
Activer dès l’enregistrement	app/schedule-message/[id].tsx:jsx
Activer l’automatisation	app/schedule-message/[id].tsx:attr:accessibilityLabel
Activité professionnelle	app/profile/[id].tsx:jsx
Administration officielle réservée aux Visionnaires. Les droits sont également contrôlés par le backend.	src/screens/NewConversationScreen.tsx:jsx
Administration Visionnaire	app/group/[id].tsx:jsx
Adresse email Neptune	app/sign-in.tsx:jsx | app/sign-in.tsx:attr:accessibilityLabel
Aide à la connexion	app/access-help.tsx:jsx
Ajout prêt côté application	app/group/_layout.tsx:alert
Ajouter au message	src/screens/ChatConversationScreen.tsx:jsx
Ajouter un membre	app/group/_layout.tsx:jsx | app/group/_layout.tsx:jsx
Ajouter un membre au groupe	app/group/_layout.tsx:attr:accessibilityLabel
Ajouter une photo	app/new-highlight.tsx:attr:accessibilityLabel
Ajouter une pièce jointe ou un sondage	src/screens/ChatConversationScreen.tsx:attr:accessibilityLabel
Ajouter une réponse	src/components/PollComposerModal.tsx:jsx
Ajouter une vidéo de soixante secondes maximum	app/new-highlight.tsx:attr:accessibilityLabel
Ajoutés pendant cette session	app/group/_layout.tsx:jsx
